	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_10645_8.txt	10645	8	8403.41698842	8750.81923077	3106.75675676	819.764044944	2973.03367003	3113.94933921	7711.36673347	8128.15991903	930.098039216	8268.8019802	8520.34355828	7877.55776892	859.915492958	7916.38791423	2117.97674419	928.535714286	1238.54615385	1343.87769784	1358.11111111	1591.75	1419.8974359	1206.24324324	1487.15934066	1293.04324324	1568.60606061	1928.87704918	2672.00369004	2048.91946309	1908.53061224	4364.04054054	1454.44303797	1148.03378378	3046.49856734	1245.79220779	1116.88679245	1189.36220472	1120.79245283	2289.86138614	1152.32934132	1649.37704918	2026.83333333	1014.00775194	1742.72680412	923.96039604	4456.56435644	3491.02997275	1176.00714286	935.203539823	1324.12903226	931.248	1411.88059701	1131.76470588	1317.42138365	1279.015625	1281.68965517	1684.61073826	1395.5739645	1057.44262295	1035.33962264	1271.40178571	1318.52307692	1831.6978022	1237.27108434	1246.89285714	1134.74	635.702702703	537.31884058	993.10989011	1097.61073826	1332.86781609	1028.08064516	1042.23529412	1164.8828125	1467.03529412	1373.52023121	681.798165138	916.72826087	1269.89285714	807.131147541	3757.97890295	1310.85507246	783.558441558	3523.65	1575.78680203	1113.1875	993.090909091	1371.31707317	397.333333333	2751.24539877	804.373737374	634.5	3024.58736059	3180.53807107	3424.53068592	2469.34322034	1344.16	1143.44680851	1547.125	608.386792453	671.013888889	370.657894737	559.596774194	419.041666667	807.681818182	449.181818182	348.434782609	494.75862069	988.727272727	865.468085106	1340.61676647	1117.58988764	1181.27741935	1059.35714286	826.610169492	843.258064516	1378.80368098	890.779310345	806.894736842	2011.47150259	728.783783784	384.682926829	3458.71523179	828.5	1040.71794872	1699.81034483	2485.76056338	1075.20338983	1264.45517241	715.304878049	1084.16326531	752.189189189	1336.57024793	4185.23157895	1039.28346457	1231.24183007	942.79787234	838.028301887	818.08	625.951219512	1587.02459016	1175.65178571	814.458715596	782.247058824	700.92920354	853.857142857	1136.66666667	882.43697479	1021.56875	1122.31506849	989.365591398	960.044117647	686.058394161	813.711711712	728.333333333	851.776859504	924.14893617	782.172661871	696.75	615.5546875
alpha_rarefaction_10645_9.txt	10645	9	7961.47940075	8554.24361493	3384.47184987	951.985915493	3147.27972028	3054.25210084	8580.565762	7783.90625	1012.0	8813.64224138	8425.26232742	7802.1743295	973.88	8069.87628866	2147.68634686	929.289473684	1378.0	1317.11034483	1341.95953757	1653.11864407	1420.59541985	1281.05128205	1596.3583815	1274.52380952	1473.14285714	2020.82954545	2441.8	1832.9202454	1992.71938776	3549.18045113	1669.89208633	1216.14788732	3163.45299145	1234.87179487	1189.93793103	1166.00714286	1098.12711864	2342.24725275	1213.05921053	1504.421875	2064.89824561	1115.38135593	1696.45049505	886.28440367	4681.88741722	3753.81818182	1099.87943262	887.123076923	1319.62732919	869.0	1303.33673469	1112.38547486	1150.16	1325.0	1404.52095808	1616.98802395	1382.33928571	1144.11111111	982.727272727	1168.85106383	1213.33333333	1760.18781726	1226.20253165	1167.08219178	1099.31468531	720.158730159	580.105263158	1148.23913043	1156.74482759	1352.47093023	951.354330709	1091.13953488	1256.62295082	1368.28947368	1260.69387755	645.046511628	920.43877551	1147.66666667	738.0	3573.18672199	1204.02112676	735.802197802	3398.91304348	1530.43181818	1289.64071856	960.901785714	1394.75	285.666666667	2686.91404011	789.264705882	624.672413793	2911.86122449	3110.73913043	3285.0326087	2684.92105263	1385.8742515	1125.95744681	1634.68452381	557.441176471	752.258064516	502.135135135	631.080645161	378.483870968	889.585714286	402.097560976	386.75	577.756756757	965.838709677	772.842592593	1432.01923077	1161.23076923	1134.0	1016.28225806	872.057142857	952.447154472	1329.99418605	907.345323741	844.110091743	1736.66216216	648.563380282	364.677419355	2996.07926829	721.40625	1242.625	1625.42068966	2716.22966507	1107.82758621	1180.5	702.209302326	1018.2849162	703.138888889	1218.16541353	4395.75347222	959.722222222	1311.40559441	829.401785714	833.153061224	796.834862385	649.55	1827.81944444	1138.74418605	807.241071429	729.517241379	758.866666667	891.804347826	1115.57692308	1019.2173913	1165.00653595	1095.37777778	1075.22368421	913.410596026	672.923076923	898.0	890.0	862.446280992	1013.04761905	868.210526316	716.164835165	669.237288136
alpha_rarefaction_12772_0.txt	12772	0	8891.33986928	9291.27986348	3455.115	1005.91764706	3058.10306407	3253.71779141	8985.67692308	8398.72990354	1017.12621359	8641.04651163	8340.35046729	9164.71090909	934.325	8697.16049383	2323.06185567	999.010989011	1287.27083333	1334.75796178	1441.01123596	1694.04424779	1239.0	1312.20192308	1730.66467066	1429.97005988	1554.6875	2082.09090909	2565.01886792	2020.55681818	2147.03030303	4117.36700337	1656.7278481	1350.75	3208.73798077	1314.85534591	1176.40718563	1314.66935484	1142.12307692	2452.76363636	1213.06024096	1617.14141414	1944.01916933	1041.79432624	1804.61572052	873.264705882	4722.70338983	4015.35732648	1155.67924528	960.7109375	1365.0	958.0	1418.0326087	1169.72375691	1391.37951807	1406.26277372	1363.7357513	1653.83606557	1469.85057471	1132.0	1029.0106383	1348.875	1261.33333333	1809.91964286	1202.44864865	1415.67272727	1242.53846154	640.1375	590.692307692	1158.47916667	1190.0	1281.12682927	1066.06993007	1085.52985075	1200.91791045	1483.44927536	1247.94979079	735.625	897.759259259	1261.32941176	824.125	4045.7037037	1446.04511278	819.023255814	3551.86455331	1553.02489627	1197.56149733	1006.18103448	1437.23076923	396.676470588	2914.05612245	814.023809524	622.338235294	2928.06603774	3425.82329317	3554.72307692	2839.71268657	1521.26704545	1189.17241379	1703.01515152	592.394230769	789.701754386	420.527777778	668.672413793	477.2	910.814814815	512.459459459	379.4	553.020408163	933.056910569	931.878504673	1453.50543478	1127.16346154	1111.734375	1076.1875	852.575221239	1105.57692308	1377.41269841	880.679245283	917.0	1814.60474308	671.819148936	352.608695652	3505.70430108	874.295238095	1135.49137931	1747.67073171	2726.00363636	1088.9010989	1432.5	702.221153846	1114.41340782	770.61682243	1187.3125	4525.84730539	1012.12096774	1335.09036145	864.0	782.484375	850.048780488	682.4	1701.59793814	1191.78195489	875.954545455	798.8125	864.817204301	895.166666667	997.139072848	926.072992701	1131.0	1094.03947368	911.31	989.021428571	725.579831933	822.008333333	806.325581395	947.862903226	1051.16	857.063380282	729.4	614.684210526
alpha_rarefaction_12772_1.txt	12772	1	8615.22222222	9091.48788368	3617.73710074	970.0	3270.82132565	3146.28752643	8494.88986014	9025.85185185	1007.27678571	8817.36708861	8882.48701299	8389.88292683	854.535714286	8549.20134228	2314.05474453	1048.10126582	1320.72340426	1326.86075949	1530.91666667	1766.33175355	1337.06557377	1299.06598985	1656.76271186	1338.3015873	1436.44488189	2087.49797571	2651.8041543	2266.95625	2053.4047619	4474.99270073	1722.125	1335.16793893	3201.12230216	1278.49367089	1170.0	1108.39759036	1176.02325581	2604.17098446	1130.01714286	1649.82352941	2013.34333333	1036.5033557	1794.10043668	1035.5	4476.90052356	3865.12587413	1117.25423729	921.488888889	1398.02139037	1086.296875	1443.69270833	1167.06060606	1304.00584795	1266.08609272	1412.39010989	1635.88571429	1466.93491124	1278.03592814	1008.6	1281.43150685	1271.77272727	1784.01333333	1225.48087432	1314.56906077	1172.725	674.628205128	678.807692308	1130.92105263	1154.87591241	1345.70833333	1052.43939394	1041.18965517	1200.95238095	1461.33668342	1315.6712963	697.409090909	913.542056075	1289.03896104	716.62962963	4140.98496241	1478.04255319	946.808219178	3769.109375	1700.23394495	1196.20571429	989.492537313	1683.73333333	364.090909091	3062.68119891	791.711711712	540.52173913	3072.66975309	3346.47478992	3356.72881356	2699.2	1645.1402439	1376.44680851	1618.77777778	570.709090909	832.196721311	545.230769231	653.318181818	393.75	950.583333333	526.487179487	415.625	606.926829268	989.116504854	898.394230769	1438.24878049	1096.37004405	1216.29166667	1016.02112676	848.588235294	945.024590164	1406.3038674	954.355072464	852.123966942	2014.19730942	765.481481481	335.595744681	3530.23846154	861.333333333	1081.75	1872.70440252	2870.62761506	1097.13043478	1255.65359477	783.0	1113.36413043	759.026086957	1158.01694915	4195.30965909	1056.36	1261.24855491	973.653061224	842.078125	811.407407407	728.943820225	1778.29770992	1178.85915493	842.827272727	709.431578947	801.981132075	1007.28	1076.46153846	923.262773723	1228.79310345	1118.81081081	883.234042553	933.9	724.445255474	889.941176471	792.133333333	896.279661017	1127.224	798.942675159	741.455696203	622.5
alpha_rarefaction_12772_2.txt	12772	2	8769.01615509	9853.14059754	3457.77336449	964.329113924	3221.84482759	3263.03177966	9821.46067416	8581.12841091	1020.16216216	8842.12146423	9136.49152542	8898.7437276	921.164383562	8670.28	2200.32475884	958.511904762	1317.43046358	1348.26315789	1384.19796954	1681.2907489	1512.46774194	1378.62827225	1569.25380711	1399.8814433	1591.79716981	2265.73417722	2560.7325228	2040.25609756	2032.52727273	4269.74035088	1664.1257485	1368.31756757	3132.85359801	1279.01342282	1152.32954545	1166.38125	1152.73451327	2258.7611336	1110.32160804	1635.25380711	2062.52777778	1100.02142857	1692.67123288	980.083333333	4938.10465116	3899.6453202	1159.74683544	962.0	1354.13930348	980.68503937	1427.25388601	1183.33522727	1275.03076923	1242.45398773	1316.05025126	1733.6416185	1435.23668639	1193.20253165	1014.54054054	1185.58709677	1218.26277372	1782.9665272	1293.55487805	1236.10994764	1226.33950617	667.381578947	688.3	1122.40366972	1096.0794702	1365.27227723	1018.41984733	1103.87179487	1238.40875912	1491.85714286	1358.59701493	696.351145038	966.060606061	1264.63013699	744.784810127	3824.10830325	1314.62328767	831.129032258	3562.27218935	1592.64556962	1240.0	944.639097744	1320.74157303	424.75	3120.20391061	890.720430108	608.402985075	3021.06501548	3434.0	3640.3364486	2894.09433962	1531.20689655	1170.13513514	1706.28358209	564.464285714	726.542372881	450.857142857	698.095238095	403.894736842	896.067567568	455.636363636	376.137931034	590.5	1032.95454545	820.051282051	1437.31443299	1217.705	1280.0	1046.65	886.026315789	1093.6969697	1424.42937853	966.131944444	832.3	1816.02739726	648.891566265	360.418604651	3458.60526316	979.917647059	1062.33587786	1765.33333333	2715.23943662	1157.2804878	1289.65359477	828.965517241	1184.01666667	788.221153846	1181.11445783	4280.3971831	1012.12295082	1322.90607735	941.08045977	764.173228346	828.237762238	675.214285714	1725.10727969	1326.421875	851.552631579	743.53125	760.0	845.365853659	948.555555556	993.007518797	1075.05202312	1126.59868421	1029.20689655	939.279220779	731.579831933	836.694656489	841.243478261	924.412844037	975.314685315	867.450381679	733.638554217	651.083969466
alpha_rarefaction_12772_3.txt	12772	3	9053.9035533	9302.05882353	3564.71072319	955.62195122	3636.48709677	3121.33528265	9002.29827586	8808.48849558	1149.83908046	8882.7979798	8674.312	8618.46987952	928.011764706	9065.14917127	2203.74038462	993.918604651	1396.97637795	1392.83536585	1545.00584795	1789.57345972	1469.52517986	1358.89473684	1591.38461538	1327.31578947	1481.11914894	2224.424	2739.88852459	2386.17610063	2099.74626866	3838.39464883	1624.79605263	1290.55688623	3195.67277487	1192.66871166	1242.06535948	1239.9	1151.17073171	2581.24390244	1173.01818182	1606.90575916	2094.9504644	1073.35433071	1860.13191489	935.298245614	4783.94169096	4364.58760108	1115.90184049	892.642857143	1462.36956522	944.144827586	1486.69035533	1126.76923077	1355.30405405	1216.80368098	1422.93684211	1591.4	1410.25280899	1225.0	1087.07377049	1269.53012048	1330.08547009	1759.72727273	1255.09146341	1324.70466321	1136.0060241	762.758064516	687.55	1086.77419355	1121.36645963	1367.43455497	1176.38938053	1043.04268293	1207.33333333	1501.66350711	1339.59313725	671.612403101	903.91588785	1396.01449275	788.5	3517.35179153	1406.75694444	791.857142857	3669.64652568	1704.81428571	1249.07344633	983.345794393	1289.39393939	512.916666667	2815.6641791	815.724770642	774.222222222	3059.24920128	3306.35714286	3501.96261682	2639.60447761	1758.04402516	1320.45360825	1720.45783133	622.617977528	841.559322034	419.717948718	625.518518519	393.03030303	907.511627907	451.23255814	347.444444444	494.936170213	1075.71	870.141304348	1483.80927835	1170.28061224	1260.65625	985.438709677	886.163934426	971.342592593	1427.19148936	953.232258065	850.644628099	1910.13191489	723.37037037	323.117647059	3439.44444444	793.129310345	1109.08547009	1725.54362416	2590.79569892	1181.7816092	1275.38823529	787.260869565	1153.47852761	718.842975207	1200.31288344	4420.97941176	1054.11538462	1349.5060241	875.791304348	808.540540541	768.642857143	705.0	1722.08333333	1278.175	832.50877193	728.159090909	776.0	917.036036036	1109.0754717	921.704697987	1217.9	1072.54166667	876.201923077	958.339622642	694.333333333	879.75	841.3515625	903.43697479	987.1	888.661971831	719.666666667	617.8359375
alpha_rarefaction_12772_4.txt	12772	4	8570.91219512	9624.75294118	3707.25263158	884.359223301	3074.87215909	3223.02012072	9126.07540395	8380.16965742	1163.69148936	8822.84797297	8542.47327044	8922.66209262	848.717647059	8488.43100511	2326.87713311	1008.63855422	1268.21019108	1364.03314917	1399.36898396	1785.69194313	1381.37414966	1329.24019608	1489.46192893	1313.83823529	1653.84722222	2220.61693548	2757.48543689	1985.74431818	2052.34449761	4416.92105263	1737.88461538	1383.16911765	3371.06887052	1166.77714286	1176.11111111	1290.08088235	1180.3880597	2564.06074766	1063.27941176	1667.06382979	1976.79216867	1128.15909091	1699.04444444	946.887755102	4777.95121951	3895.22469136	1185.27480916	899.97826087	1464.41666667	1027.86885246	1446.45794393	1204.09302326	1396.85955056	1387.52866242	1391.44864865	1622.54123711	1388.00555556	1239.47953216	1075.92105263	1184.40666667	1275.83333333	1933.7184466	1199.76271186	1315.56906077	1164.78846154	754.65625	598.892857143	1214.63207547	1226.29251701	1383.07142857	1020.33333333	1060.50595238	1195.73381295	1420.8680203	1420.46666667	682.365853659	913.15	1238.94736842	864.961538462	3819.85873606	1341.45070423	876.428571429	3492.0	1657.33823529	1240.44571429	989.212121212	1494.43835616	454.161290323	3249.6	784.909090909	666.615384615	3104.08191126	3436.92105263	3473.91818182	2802.23507463	1467.12903226	1264.57142857	1741.71022727	636.634615385	765.803278689	518.454545455	578.970588235	376.487179487	849.263157895	540.677419355	368.045454545	488.960784314	1198.01098901	853.258928571	1450.47058824	1159.5	1180.19889503	964.449367089	871.579365079	944.288	1363.01694915	920.040816327	780.139534884	1831.29460581	638.342857143	384.8125	3601.74594595	762.177966102	1181.62857143	1798.09090909	2825.04958678	1144.12352941	1335.18300654	773.2625	1134.12138728	796.324324324	1187.68987342	4450.13235294	1016.56716418	1511.2384106	885.2	818.047244094	819.701492537	658.010869565	1774.20295203	1320.6	869.060606061	691.495495495	789.732673267	931.778846154	1075.16666667	1012.93103448	1124.16374269	1118.59868421	952.666666667	964.025477707	695.488888889	869.222222222	874.0	917.875	1001.40490798	870.006535948	686.743243243	616.559055118
alpha_rarefaction_12772_5.txt	12772	5	8922.55351171	9177.6867863	3427.73165138	956.804347826	3180.96910112	3236.09036145	9077.31147541	8696.63	1052.38461538	8561.14869281	9328.68393782	8798.31028668	867.22826087	8936.14689266	2292.59150327	991.663043478	1292.00854701	1398.42073171	1408.47953216	1659.02173913	1405.38461538	1225.79365079	1686.75	1405.00549451	1511.3507109	2171.75581395	2601.08139535	2157.6684492	2100.93925234	4644.79323308	1696.49668874	1236.44	3150.34352941	1233.06535948	1266.22641509	1102.27027027	1174.12598425	2508.37864078	1175.68965517	1525.1712963	1968.14018692	1037.06040268	1677.38842975	985.164835165	4841.80701754	3745.02083333	1140.56953642	892.417910448	1405.69035533	967.772058824	1450.44502618	1211.47058824	1299.00584795	1317.28057554	1446.92265193	1636.93782383	1456.0	1175.22413793	1008.11811024	1241.12751678	1186.13664596	1776.6	1208.82926829	1286.29411765	1244.10126582	670.886075949	660.5	1163.84210526	1153.56521739	1467.9005848	1049.224	1210.40559441	1292.87407407	1514.73	1395.03030303	675.201492537	865.921052632	1153.65168539	908.428571429	4231.50980392	1396.37254902	873.075949367	3677.84911243	1709.89	1334.76785714	1006.76470588	1535.11392405	412.516129032	2907.75471698	919.164948454	584.779411765	2928.24	3127.54237288	3444.14589666	2701.53703704	1469.43243243	1261.20618557	1551.75813953	584.75	736.137931034	453.5	664.828125	421.583333333	893.035294118	353.0	436.476190476	511.346938776	1096.53	861.428571429	1604.2037037	1163.36170213	1221.41509434	1025.13907285	862.613207547	1029.75	1476.45695364	935.783783784	845.727272727	2017.5	670.043010753	388.538461538	3324.933687	910.691489362	1089.50769231	1568.45614035	2724.57664234	1156.88679245	1370.33333333	729.104166667	1140.05952381	751.6484375	1230.25657895	4529.94202899	968.285714286	1309.99441341	883.136363636	795.389705882	798.40397351	695.483870968	1867.23684211	1235.13953488	876.188118812	757.696969697	768.24137931	817.3	1009.4	975.888059701	1177.26506024	1149.36363636	944.743119266	1021.10135135	703.5	830.288	924.556603774	911.540540541	1036.79856115	820.75	708.354166667	645.007936508
alpha_rarefaction_12772_6.txt	12772	6	8849.07258065	8913.35440932	3253.81489842	1020.84337349	3142.46814404	3090.65269461	8994.56323777	8624.27895595	988.303571429	8940.59325044	8916.04487179	8963.48939929	929.034482759	8283.18350168	2260.01898734	946.741573034	1307.06040268	1398.7816092	1397.97894737	1785.26976744	1337.63829787	1401.98387097	1654.45398773	1397.80104712	1615.5	2151.30769231	2710.09090909	2117.44571429	2077.92268041	4532.52205882	1940.54285714	1270.69375	3237.5861244	1275.0	1167.28651685	1212.30714286	1163.25833333	2562.46305419	1228.14457831	1618.85082873	1938.35649547	1144.38888889	1688.14349776	887.078947368	4615.99162011	3670.68374165	1210.64084507	952.0625	1579.16374269	978.916666667	1450.53846154	1180.37430168	1331.03508772	1246.36363636	1392.70414201	1606.37305699	1466.87209302	1149.63372093	1036.65486726	1283.61151079	1329.7734375	1873.14634146	1147.67934783	1310.39010989	1211.98275862	800.985074627	629.767857143	1004.4	1142.0	1388.17112299	1118.14049587	1094.69798658	1322.27480916	1373.11702128	1390.16666667	679.444444444	858.390243902	1255.61842105	769.733333333	3687.61188811	1451.15231788	906.536585366	3750.08615385	1730.59813084	1243.50555556	909.4	1260.52475248	371.322580645	2845.72192513	832.597826087	712.459016393	3157.0	3074.23970037	3628.89320388	2939.92592593	1594.08433735	1277.42857143	1629.67298578	642.033333333	871.387096774	466.972972973	708.310344828	455.517241379	1098.30882353	451.65	423.0	512.622222222	1036.24299065	879.122641509	1440.91509434	1134.03940887	1157.46875	1008.98709677	884.963302752	933.532258065	1335.37810945	976.721518987	777.7	1863.57709251	722.93902439	352.071428571	3515.00793651	809.830188679	1050.18421053	1690.8313253	2757.09375	1214.46385542	1261.40397351	770.282608696	1135.31428571	765.128205128	1241.92814371	4425.15	1005.07518797	1260.48066298	873.136363636	812.8125	843.23880597	644.769230769	1801.133829	1279.75714286	820.637931034	757.628571429	824.342592593	983.666666667	1058.13461538	926.1953125	1091.33526012	1109.09259259	999.561797753	921.75	701.488888889	908.888888889	828.008264463	916.711111111	999.039215686	836.879194631	735.888888889	632.298387097
alpha_rarefaction_12772_7.txt	12772	7	8912.184514	9146.96314103	3674.74331551	944.413793103	3206.12465374	3078.67054264	8962.65100671	9279.7875	1064.77227723	8630.75364668	8695.1795302	8829.70141343	869.125	8183.75423729	2345.99635036	966.978494624	1213.89312977	1307.06134969	1545.25316456	1793.31428571	1463.36029412	1255.6	1612.94413408	1337.03076923	1674.76635514	2057.90038314	2491.50151057	2239.93975904	2024.04273504	4185.98220641	1616.00645161	1277.79310345	3085.64516129	1214.71264368	1208.55214724	1190.02205882	1195.55752212	2402.66666667	1173.31578947	1612.12195122	1928.0	1137.76	1900.72195122	1040.18811881	4474.76595745	4006.50247525	1139.99367089	943.96124031	1322.60891089	939.264705882	1435.94845361	1172.2972973	1343.61764706	1257.5	1383.33862434	1665.75438596	1440.84146341	1111.54450262	1076.59130435	1282.36666667	1279.1294964	1748.81545064	1228.12426036	1237.19072165	1229.8525641	697.47826087	614.090909091	1335.11764706	1145.77922078	1392.02843602	1071.41441441	1111.98709677	1237.16083916	1361.51219512	1376.18309859	692.039370079	870.663934426	1067.01298701	729.568181818	3707.59060403	1303.2375	867.513157895	3770.8762215	1680.25480769	1287.22360248	985.047619048	1620.69620253	373.53125	2928.33587786	855.921052632	653.092307692	2928.07142857	3340.82008368	3657.81612903	2783.55357143	1416.97087379	1156.69090909	1656.98984772	579.367346939	801.196721311	557.903225806	802.654545455	482.322580645	931.896103896	535.903225806	278.023255814	520.346938776	1101.64705882	1060.4	1504.53216374	1142.24242424	1320.82191781	1015.44	875.446280992	989.882352941	1398.27777778	942.033783784	804.0	1859.08606557	667.776470588	336.204081633	3494.11518325	796.478723404	1148.66666667	1559.70588235	2684.51119403	1028.07303371	1282.18452381	716.166666667	1033.325	727.536585366	1330.61538462	4206.05449591	991.279220779	1489.00699301	904.0	824.3	796.532258065	732.082474227	1830.75471698	1272.88888889	873.628571429	682.567010309	829.076923077	892.484375	1109.72483221	975.372093023	1093.98843931	1024.66666667	991.448275862	986.294117647	734.237288136	804.288732394	769.711111111	983.371900826	986.573964497	859.325581395	710.554216867	604.523489933
