	Nl17Ant1	Nl17Stomach	Nl18Mid2	Nl19Stomach	Nl19Post2	Nl19Esoph	Nl17Esoph	Nl17Post1	Nl17Post2	Nl18Esoph	Nl8Ant1	Nl8Ant2	Nl8Mid2	Nl8Mid1	Nl18Post1	Nl18Post2	Nl19Ant1	Nl18Stomach	Nl19Mid2	Nl19Mid1	Nl17Mid1	Nl17Mid2	Nl18Mid1	Nl19Post1	Nl8Esophagus	Nl18Ant1
Nl17Ant1	0.0	0.509545404986	0.382458163247	0.671797959089	0.51327301732	0.457915674542	0.436806519974	0.705282787593	1.12306036194	0.459520290072	0.833126512538	0.755289789211	0.907595137259	1.02784993912	0.44145086352	1.07189854565	0.684658226962	0.493013489854	0.519379643601	0.51923095235	0.514988566057	0.597539039861	0.876161382597	0.563291820596	0.80488910005	0.436144424578
Nl17Stomach	0.509545404986	0.0	0.478320155542	0.515579079467	0.517171765879	0.461546697841	0.506061735185	0.658168944346	1.09633067743	0.438717898423	0.817406674388	0.747508311371	0.901279998049	1.00786808917	0.482146324012	1.02759070905	0.642319584836	0.527935950073	0.524260942536	0.461431672706	0.47194850924	0.545409331601	0.866854670569	0.492627523997	0.770345130303	0.442082063524
Nl18Mid2	0.382458163247	0.478320155542	0.0	0.593690293243	0.420718206737	0.340125272727	0.281757632352	0.622512456856	1.05926562087	0.363765818182	0.770032572727	0.696613955128	0.850738909091	0.968742154545	0.338661312652	1.00072026939	0.600141207999	0.389604253913	0.422364857947	0.384548732593	0.44166127956	0.516335210974	0.821919445455	0.448753529288	0.750336618182	0.330700513201
Nl19Stomach	0.671797959089	0.515579079467	0.593690293243	0.0	0.481970748149	0.596196823113	0.603847064533	0.55807801735	0.920520613392	0.625034533579	0.843817623937	0.773302950334	0.918248191164	1.01848423241	0.561993069667	0.850454536492	0.534139804814	0.60050165733	0.630837346282	0.528384353845	0.552822159672	0.529209878464	0.877811464528	0.526480641947	0.806315580367	0.59459040632
Nl19Post2	0.51327301732	0.517171765879	0.420718206737	0.481970748149	0.0	0.44670128205	0.436385391559	0.484508235907	0.874991262265	0.499467719591	0.826730553012	0.762552386814	0.906829413433	1.0214376363	0.412965178421	0.812529327508	0.447459989134	0.504137650702	0.532260794873	0.46887349907	0.470574505664	0.440268427049	0.876742530621	0.416776357231	0.804108259311	0.453809162572
Nl19Esoph	0.457915674542	0.461546697841	0.340125272727	0.596196823113	0.44670128205	0.0	0.354931192332	0.636076390876	1.05394246182	0.400084690909	0.776022972727	0.698445157989	0.852934836364	0.9697887	0.396642579765	1.00066923106	0.647478506485	0.385854877622	0.481867723904	0.404453918601	0.490487476231	0.524398990259	0.819867918182	0.476875561788	0.752474290909	0.378399499488
Nl17Esoph	0.436806519974	0.506061735185	0.281757632352	0.603847064533	0.436385391559	0.354931192332	0.0	0.640041301915	1.04360527753	0.393595801613	0.809915963901	0.740393698513	0.885023354363	0.995232603425	0.378278626141	0.989314101527	0.611398798908	0.397096813187	0.474780895857	0.413330721183	0.480658264007	0.542197895946	0.846081457226	0.463783177514	0.778189534511	0.344303476493
Nl17Post1	0.705282787593	0.658168944346	0.622512456856	0.55807801735	0.484508235907	0.636076390876	0.640041301915	0.0	0.694118696838	0.650416100831	0.883530692239	0.821067324506	0.95985535418	1.06375068436	0.582007060262	0.638128893967	0.422150280361	0.658460811586	0.647606173288	0.584736438083	0.609216144698	0.491680962654	0.917360382284	0.544722626386	0.875632755243	0.660904226207
Nl17Post2	1.12306036194	1.09633067743	1.05926562087	0.920520613392	0.874991262265	1.05394246182	1.04360527753	0.694118696838	0.0	1.07545255653	1.08756197738	1.04124041874	1.08799125212	1.17398727537	1.00637309572	0.325231586377	0.739998544131	1.06179034752	1.07425890704	1.03059083871	1.00723143416	0.886729773571	1.08790847106	0.91298738306	1.12745327485	1.07859039341
Nl18Esoph	0.459520290072	0.438717898423	0.363765818182	0.625034533579	0.499467719591	0.400084690909	0.393595801613	0.650416100831	1.07545255653	0.0	0.809760027273	0.740391403685	0.885247909091	0.989337681818	0.427756157646	1.01616130199	0.637026324353	0.461907923776	0.501133177668	0.439228314747	0.44952787394	0.5362804981	0.846999972727	0.487093807669	0.772533545455	0.376786670868
Nl8Ant1	0.833126512538	0.817406674388	0.770032572727	0.843817623937	0.826730553012	0.776022972727	0.809915963901	0.883530692239	1.08756197738	0.809760027273	0.0	0.43811847845	0.398599427273	0.597896981818	0.800142986091	1.05722218936	0.903548791149	0.805907045954	0.813641233037	0.763628972685	0.831501306933	0.817648285226	0.521553854545	0.806011141039	0.4624195	0.832851615521
Nl8Ant2	0.755289789211	0.747508311371	0.696613955128	0.773302950334	0.762552386814	0.698445157989	0.740393698513	0.821067324506	1.04124041874	0.740391403685	0.43811847845	0.0	0.445987712143	0.596798219845	0.72630755612	1.01326552958	0.834691689501	0.733956020731	0.74954010979	0.693138292367	0.753157504812	0.765981986166	0.498472023372	0.739113678759	0.479304334401	0.74431325885
Nl8Mid2	0.907595137259	0.901279998049	0.850738909091	0.918248191164	0.906829413433	0.852934836364	0.885023354363	0.95985535418	1.08799125212	0.885247909091	0.398599427273	0.445987712143	0.0	0.540729772727	0.877691012191	1.06312294211	0.981002998205	0.882453604096	0.895390861141	0.843580173146	0.907891617973	0.903489912732	0.447695372727	0.883267305938	0.472492545455	0.898201322412
Nl8Mid1	1.02784993912	1.00786808917	0.968742154545	1.01848423241	1.0214376363	0.9697887	0.995232603425	1.06375068436	1.17398727537	0.989337681818	0.597896981818	0.596798219845	0.540729772727	0.0	0.994004035358	1.15001444447	1.084050452	0.986210330736	1.00144765223	0.957281073733	1.01849586696	1.00793159742	0.5488898	0.993985474517	0.614910881818	1.00859252639
Nl18Post1	0.44145086352	0.482146324012	0.338661312652	0.561993069667	0.412965178421	0.396642579765	0.378278626141	0.582007060262	1.00637309572	0.427756157646	0.800142986091	0.72630755612	0.877691012191	0.994004035358	0.0	0.9346358901	0.530099194165	0.419416274962	0.450497985488	0.400259069124	0.389663887171	0.456009453746	0.849316820947	0.406593409104	0.77320670067	0.373151084246
Nl18Post2	1.07189854565	1.02759070905	1.00072026939	0.850454536492	0.812529327508	1.00066923106	0.989314101527	0.638128893967	0.325231586377	1.01616130199	1.05722218936	1.01326552958	1.06312294211	1.15001444447	0.9346358901	0.0	0.669074665476	0.999162816227	1.01636549089	0.970550262841	0.932767407327	0.822698575423	1.0669717778	0.853321161618	1.10315756369	1.0073480067
Nl19Ant1	0.684658226962	0.642319584836	0.600141207999	0.534139804814	0.447459989134	0.647478506485	0.611398798908	0.422150280361	0.739998544131	0.637026324353	0.903548791149	0.834691689501	0.981002998205	1.084050452	0.530099194165	0.669074665476	0.0	0.653431987238	0.616889894057	0.596076254542	0.512217414343	0.490924966919	0.939791494615	0.489989446792	0.88002809095	0.620205369976
Nl18Stomach	0.493013489854	0.527935950073	0.389604253913	0.60050165733	0.504137650702	0.385854877622	0.397096813187	0.658460811586	1.06179034752	0.461907923776	0.805907045954	0.733956020731	0.882453604096	0.986210330736	0.419416274962	0.999162816227	0.653431987238	0.0	0.500921630288	0.432132118398	0.534339697221	0.541810132066	0.835600580952	0.529526150055	0.780929634799	0.418092122755
Nl19Mid2	0.519379643601	0.524260942536	0.422364857947	0.630837346282	0.532260794873	0.481867723904	0.474780895857	0.647606173288	1.07425890704	0.501133177668	0.813641233037	0.74954010979	0.895390861141	1.00144765223	0.450497985488	1.01636549089	0.616889894057	0.500921630288	0.0	0.500944343054	0.478507159982	0.496538169595	0.857148637661	0.446218894655	0.793168510031	0.495075071408
Nl19Mid1	0.51923095235	0.461431672706	0.384548732593	0.528384353845	0.46887349907	0.404453918601	0.413330721183	0.584736438083	1.03059083871	0.439228314747	0.763628972685	0.693138292367	0.843580173146	0.957281073733	0.400259069124	0.970550262841	0.596076254542	0.432132118398	0.500944343054	0.0	0.453058915715	0.501176832061	0.810118237202	0.449654948681	0.738182695224	0.412790525164
Nl17Mid1	0.514988566057	0.47194850924	0.44166127956	0.552822159672	0.470574505664	0.490487476231	0.480658264007	0.609216144698	1.00723143416	0.44952787394	0.831501306933	0.753157504812	0.907891617973	1.01849586696	0.389663887171	0.932767407327	0.512217414343	0.534339697221	0.478507159982	0.453058915715	0.0	0.498311539846	0.872521103805	0.405248040478	0.813708432642	0.449205297927
Nl17Mid2	0.597539039861	0.545409331601	0.516335210974	0.529209878464	0.440268427049	0.524398990259	0.542197895946	0.491680962654	0.886729773571	0.5362804981	0.817648285226	0.765981986166	0.903489912732	1.00793159742	0.456009453746	0.822698575423	0.490924966919	0.541810132066	0.496538169595	0.501176832061	0.498311539846	0.0	0.876505504341	0.432326262765	0.817268188559	0.561025900666
Nl18Mid1	0.876161382597	0.866854670569	0.821919445455	0.877811464528	0.876742530621	0.819867918182	0.846081457226	0.917360382284	1.08790847106	0.846999972727	0.521553854545	0.498472023372	0.447695372727	0.5488898	0.849316820947	1.0669717778	0.939791494615	0.835600580952	0.857148637661	0.810118237202	0.872521103805	0.876505504341	0.0	0.85154664093	0.540550790909	0.865036762545
