	Ax16Ant2	Ax16Ant1	Ax16Stomach	Ax16Post1	Ax16Post3	Ax16Post2	Ax16Esophagus	Ax16Mid2
Ax16Ant2	0.0	0.370313935527	0.847465533165	0.677879069292	0.791299860943	0.861863782599	0.826155897962	0.834178536657
Ax16Ant1	0.370313935527	0.0	0.796783874194	0.613717980031	0.752952852564	0.803266605883	0.772488842049	0.775811921217
Ax16Stomach	0.847465533165	0.796783874194	0.0	0.495927318315	0.864041498759	0.423657402479	0.387334847817	0.363160484973
Ax16Post1	0.677879069292	0.613717980031	0.495927318315	0.0	0.810560234012	0.547418861542	0.493624662672	0.526944143509
Ax16Post3	0.791299860943	0.752952852564	0.864041498759	0.810560234012	0.0	0.850140091919	0.830700419128	0.867999548124
Ax16Post2	0.861863782599	0.803266605883	0.423657402479	0.547418861542	0.850140091919	0.0	0.417784788356	0.455426561707
Ax16Esophagus	0.826155897962	0.772488842049	0.387334847817	0.493624662672	0.830700419128	0.417784788356	0.0	0.422330856425
Ax16Mid2	0.834178536657	0.775811921217	0.363160484973	0.526944143509	0.867999548124	0.455426561707	0.422330856425	0.0
