	Nu15Mid2	Nu15Mid1	Nu1Ant1	Nu15Post1	Nu15Post2	Nu15Stomach	Nu1post2	Nu1post3	Nu1post1	Nu15Ant1	Nu15Esophagus
Nu15Mid2	0.0	0.411913274112	0.965832294044	0.975418072407	0.43592350219	0.403270666152	0.397526159451	0.388626025357	1.04433079231	0.467978836996	0.492151231171
Nu15Mid1	0.411913274112	0.0	1.00375401789	0.98498933843	0.512917144109	0.487139341098	0.506148018528	0.506282694876	1.08528282854	0.536483432567	0.524273811532
Nu1Ant1	0.965832294044	1.00375401789	0.0	1.13906816412	1.00341771097	0.954094922874	0.927464049906	0.94857596066	0.545744134891	0.990376827827	0.93604231179
Nu15Post1	0.975418072407	0.98498933843	1.13906816412	0.0	1.05242900353	1.02572507531	1.05930626971	1.05401824033	1.19738704172	1.03798731138	1.0319870137
Nu15Post2	0.43592350219	0.512917144109	1.00341771097	1.05242900353	0.0	0.422554021929	0.395160781701	0.383153849449	1.08544279618	0.43824141184	0.471466902756
Nu15Stomach	0.403270666152	0.487139341098	0.954094922874	1.02572507531	0.422554021929	0.0	0.390748581418	0.383248613273	1.03141181644	0.420896858823	0.427484273721
Nu1post2	0.397526159451	0.506148018528	0.927464049906	1.05930626971	0.395160781701	0.390748581418	0.0	0.320642032808	1.00610051795	0.474131595158	0.431023408114
Nu1post3	0.388626025357	0.506282694876	0.94857596066	1.05401824033	0.383153849449	0.383248613273	0.320642032808	0.0	1.03131729213	0.436033235472	0.39026979122
Nu1post1	1.04433079231	1.08528282854	0.545744134891	1.19738704172	1.08544279618	1.03141181644	1.00610051795	1.03131729213	0.0	1.06834362391	1.02406371403
Nu15Ant1	0.467978836996	0.536483432567	0.990376827827	1.03798731138	0.43824141184	0.420896858823	0.474131595158	0.436033235472	1.06834362391	0.0	0.467166743916
Nu15Esophagus	0.492151231171	0.524273811532	0.93604231179	1.0319870137	0.471466902756	0.427484273721	0.431023408114	0.39026979122	1.02406371403	0.467166743916	0.0
