	Zf5Ant1	Zf5Stomach	Zf5Post1	Zf5Post3	Zf5Post2	Zf5Esophagus	Zf5Ant2	Zf5Mid2
Zf5Ant1	0.0	0.545932060711	0.54831901594	0.599662792061	0.515965690511	0.619545534254	0.4793407	0.565336597169
Zf5Stomach	0.545932060711	0.0	0.688986428799	0.713833527803	0.685143283041	0.342040841579	0.598565752888	0.735599862387
Zf5Post1	0.54831901594	0.688986428799	0.0	0.550054628031	0.510000544262	0.782545190455	0.455884770237	0.445744024763
Zf5Post3	0.599662792061	0.713833527803	0.550054628031	0.0	0.526280964109	0.792973929718	0.60773965099	0.556193728308
Zf5Post2	0.515965690511	0.685143283041	0.510000544262	0.526280964109	0.0	0.764776537944	0.545184567286	0.567310758001
Zf5Esophagus	0.619545534254	0.342040841579	0.782545190455	0.792973929718	0.764776537944	0.0	0.697440510654	0.818627849152
Zf5Ant2	0.4793407	0.598565752888	0.455884770237	0.60773965099	0.545184567286	0.697440510654	0.0	0.476940388478
Zf5Mid2	0.565336597169	0.735599862387	0.445744024763	0.556193728308	0.567310758001	0.818627849152	0.476940388478	0.0
