	Zv6Mid2	Zv6Mid1	Zv6Post1	Zv6Post2	Zv6Post3	Zv6Stomach	Zv6Ant1	Zv6Ant2
Zv6Mid2	0.0	0.50402653176	0.555956640061	0.765696059563	0.673614371338	0.786347967353	0.481075894674	0.56713675644
Zv6Mid1	0.50402653176	0.0	0.316116051884	0.592870856102	0.488766212586	0.607238442728	0.533480200214	0.421594870431
Zv6Post1	0.555956640061	0.316116051884	0.0	0.560687456621	0.487051592357	0.600458649051	0.580031022342	0.45121233567
Zv6Post2	0.765696059563	0.592870856102	0.560687456621	0.0	0.545879088723	0.661018724238	0.75559819627	0.641006801247
Zv6Post3	0.673614371338	0.488766212586	0.487051592357	0.545879088723	0.0	0.737252068963	0.697328939139	0.520965019912
Zv6Stomach	0.786347967353	0.607238442728	0.600458649051	0.661018724238	0.737252068963	0.0	0.740321022747	0.608515186693
Zv6Ant1	0.481075894674	0.533480200214	0.580031022342	0.75559819627	0.697328939139	0.740321022747	0.0	0.562490051361
Zv6Ant2	0.56713675644	0.421594870431	0.45121233567	0.641006801247	0.520965019912	0.608515186693	0.562490051361	0.0
