	Zf5Ant1	Zf5Stomach	Zf5Post1	Zf5Post3	Zf5Post2	Zf5Esophagus	Zf5Ant2	Zf5Mid2
Zf5Ant1	0.0	0.69665526154	0.721844766655	0.753225523668	0.726721985485	0.751545519214	0.66570411096	0.72714339234
Zf5Stomach	0.69665526154	0.0	0.740210509972	0.753258882829	0.768274884589	0.686252332699	0.692646923956	0.757633719298
Zf5Post1	0.721844766655	0.740210509972	0.0	0.71762798104	0.7095728366	0.816780928869	0.691966009369	0.659596101829
Zf5Post3	0.753225523668	0.753258882829	0.71762798104	0.0	0.72455303441	0.844846611458	0.753404388917	0.751655919996
Zf5Post2	0.726721985485	0.768274884589	0.7095728366	0.72455303441	0.0	0.834155296149	0.742811175746	0.748131972053
Zf5Esophagus	0.751545519214	0.686252332699	0.816780928869	0.844846611458	0.834155296149	0.0	0.750892232523	0.828012404651
Zf5Ant2	0.66570411096	0.692646923956	0.691966009369	0.753404388917	0.742811175746	0.750892232523	0.0	0.708182616119
Zf5Mid2	0.72714339234	0.757633719298	0.659596101829	0.751655919996	0.748131972053	0.828012404651	0.708182616119	0.0
