	Zv6Mid2	Zv6Mid1	Zv6Post1	Zv6Post2	Zv6Post3	Zv6Stomach	Zv6Ant1	Zv6Ant2
Zv6Mid2	0.0	0.739398946578	0.762624943156	0.805597311789	0.78785056985	0.785234429372	0.728860762143	0.753529353273
Zv6Mid1	0.739398946578	0.0	0.635551837218	0.722363241924	0.715355680559	0.705918779873	0.75275451075	0.668130729599
Zv6Post1	0.762624943156	0.635551837218	0.0	0.68066804279	0.637751285713	0.681293489631	0.772302402222	0.68227936918
Zv6Post2	0.805597311789	0.722363241924	0.68066804279	0.0	0.623601554726	0.749938520311	0.809838758918	0.759574878727
Zv6Post3	0.78785056985	0.715355680559	0.637751285713	0.623601554726	0.0	0.711592944578	0.807611868335	0.72814512582
Zv6Stomach	0.785234429372	0.705918779873	0.681293489631	0.749938520311	0.711592944578	0.0	0.776958947442	0.704005852663
Zv6Ant1	0.728860762143	0.75275451075	0.772302402222	0.809838758918	0.807611868335	0.776958947442	0.0	0.72748072684
Zv6Ant2	0.753529353273	0.668130729599	0.68227936918	0.759574878727	0.72814512582	0.704005852663	0.72748072684	0.0
