	Ax16Ant2	Ax16Ant1	Ax16Stomach	Ax16Post1	Ax16Post3	Ax16Post2	Ax16Esophagus	Ax16Mid2
Ax16Ant2	0.0	0.614599037675	0.808934802162	0.752524855838	0.850172121477	0.836547022256	0.821470114751	0.825928381946
Ax16Ant1	0.614599037675	0.0	0.776416001938	0.724804819663	0.844590152603	0.808819984595	0.786475581636	0.798492266754
Ax16Stomach	0.808934802162	0.776416001938	0.0	0.689649563783	0.822908256041	0.720072233052	0.723106198276	0.684487796191
Ax16Post1	0.752524855838	0.724804819663	0.689649563783	0.0	0.842415050046	0.755602925095	0.719589969569	0.729633019333
Ax16Post3	0.850172121477	0.844590152603	0.822908256041	0.842415050046	0.0	0.828623148844	0.845868850508	0.82534927662
Ax16Post2	0.836547022256	0.808819984595	0.720072233052	0.755602925095	0.828623148844	0.0	0.721027022424	0.712395334555
Ax16Esophagus	0.821470114751	0.786475581636	0.723106198276	0.719589969569	0.845868850508	0.721027022424	0.0	0.706862415419
Ax16Mid2	0.825928381946	0.798492266754	0.684487796191	0.729633019333	0.82534927662	0.712395334555	0.706862415419	0.0
