	sequences per sample	iteration	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Ax16Esophagus	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
alpha_rarefaction_6352_8.txt	6352	8	6253.60869565	7209.28571429	3085.81589958	693.614285714	2561.03940887	2894.31391586	6873.81993569	6031.54143646	799.186046512	6910.51724138	6546.52994012	6257.23636364	736.103448276	6234.73114754	1877.68181818	778.881355932	1022.23853211	1142.06338028	1193.60377358	1518.26666667	1126.43697479	1210.1826087	1273.72142857	1310.23529412	1316.96453901	1597.07511737	1863.61883408	1789.5212766	1660.96987952	3171.00628931	1248.38938053	925.918918919	2713.064	1071.42537313	1064.31944444	1036.15384615	1036.16853933	1761.15942029	1027.15254237	1280.11111111	1889.68421053	949.453608247	1502.53061224	717.170731707	3352.475	3082.82051282	999.438356164	869.529411765	1091.77931034	989.797101449	1208.36065574	1081.01960784	1162.88888889	992.591397849	1273.08791209	1272.90225564	1183.62676056	1000.14583333	843.84375	974.989130435	1011.26548673	1539.73493976	1116.45588235	1098.33333333	903.846153846	486.288135593	542.25	918.428571429	938.022058824	1105.09917355	802.945945946	956.0	927.517241379	1237.97014925	1107.14893617	723.539473684	757.416666667	818.217391304	624.3125	2895.14765101	996.475806452	653.666666667	3362.66666667	1547.17910448	1185.53191489	806.963302752	1082.5	358.142857143	2328.14814815	643.918918919	489.5	2245.13567839	2281.01324503	3345.95031056	2102.34969325	1232.40540541	831.048780488	810.151515152	1327.04054054	526.621621622	652.1875	376.0	471.066666667	289.04	667.185185185	353.896551724	232.333333333	427.857142857	856.086956522	822.059701493	1064.75	976.594202899	1066.55882353	886.159292035	776.573913043	779.967741935	1150.22377622	878.239316239	681.61627907	1659.85135135	594.518518519	406.714285714	2723.53881279	745.865384615	889.131578947	1363.01980198	2036.59477124	900.303571429	1018.43157895	639.441558442	961.844036697	687.230769231	1122.65517241	3504.17112299	854.0	1039.05	793.9375	751.8	830.247058824	622.838709677	1696.23566879	994.666666667	741.981132075	559.424242424	732.375	719.181818182	988.838709677	862.764705882	937.443478261	982.675675676	867.5	935.121212121	633.307692308	741.068965517	758.5	776.355371901	850.319148936	814.075949367	608.345679012	634.528089888
alpha_rarefaction_6352_9.txt	6352	9	6424.00923077	6829.7560241	3357.95061728	675.333333333	2690.14973262	2713.69180328	7042.52	6040.12269939	771.857142857	6299.33045977	6400.96363636	6153.73053892	667.5	6181.70886076	2097.625	674.676056338	1056.05084746	1141.73426573	1088.97435897	1628.63529412	986.283185841	1257.5	1232.05405405	1134.79136691	1312.65441176	1718.525	2232.53157895	1478.32110092	1674.13245033	3009.18072289	1100.1826087	996.0	2565.69672131	1140.125	1021.53284672	1103.81707317	882.0	1775.84677419	998.693548387	1477.15107914	1948.95953757	995.00952381	1573.35714286	807.542168675	3813.07772021	3077.49568966	1075.1958042	809.259259259	1277.6640625	666.431578947	1146.46428571	1068.79640719	1051.0	1117.8172043	1116.25	1313.79220779	1248.90625	1039.69852941	841.133928571	1115.04	969.387755102	1452.7	1005.0955414	1092.07936508	954.692307692	590.192307692	671.848484848	980.702702703	1004.488	1114.36090226	825.282828283	923.329787234	1017.95744681	1271.50714286	1244.23140496	634.5	670.416666667	969.083333333	628.0	2466.37704918	1082.00934579	627.818181818	2776.73762376	1367.04444444	1041.65486726	836.5	1044.12280702	311.391304348	2745.46478873	706.181818182	556.0	2300.79365079	2706.248	2632.41489362	2262.8	1160.75	992.956521739	788.008928571	1290.9858156	516.915492958	521.788461538	292.184210526	481.6	274.107142857	816.368421053	317.823529412	393.25	470.088235294	868.04	748.373333333	1148.58474576	1041.38931298	960.87394958	897.384615385	791.411764706	828.063829787	1130.27922078	862.439252336	739.04109589	1669.91772152	615.56	313.333333333	3139.34848485	644.957746479	887.891891892	1288.1559633	1959.50617284	1042.52830189	929.142857143	665.013888889	897.147286822	681.734375	916.28	3446.79775281	956.554347826	1318.0	683.318181818	699.044776119	732.387096774	571.225806452	1838.95205479	998.361111111	744.690909091	562.188405797	760.230769231	779.4	832.714285714	787.133333333	1091.26666667	955.361111111	780.373493976	819.121212121	668.256880734	691.425287356	758.888888889	800.185840708	856.0	707.381443299	636.134831461	570.121212121
alpha_rarefaction_8466_0.txt	8466	0	7935.17460317	7722.8	3080.34234234	751.12345679	2751.24175824	3042.51358696	7319.34889435	7234.64066194	1010.25	7518.37583893	7537.774942	7472.59090909	710.047619048	7849.39265537	1971.12648221	765.743589744	1251.18421053	1207.08917197	1269.29545455	1613.55837563	1405.62376238	1260.05555556	1570.68503937	1249.98076923	1254.34196891	1977.07142857	2405.80708661	1773.73529412	1812.26315789	3696.38235294	1553.27586207	1092.07462687	2835.59797297	1112.04444444	1134.92086331	1217.2	1011.80769231	2185.19444444	1178.80291971	1639.86184211	1854.14339623	1110.09259259	1472.15625	867.074074074	3779.07924528	3612.94845361	1108.53424658	851.292682927	1385.82014388	930.132075472	1394.48571429	1022.07936508	1184.1686747	1146.73553719	1365.99115044	1348.95	1275.66447368	1129.87861272	896.321428571	1265.00980392	1120.525	1578.22222222	1154.21818182	1293.59541985	1029.3902439	673.181818182	535.0	966.010989011	1124.37815126	1199.79166667	927.333333333	993.0	1092.03	1258.91304348	1280.13636364	691.585106383	800.012658228	990.051724138	603.47761194	3103.58115183	1197.45454545	708.810810811	3175.21153846	1632.72483221	1127.13194444	924.387096774	1060.16666667	367.25	2676.6137931	790.134328358	524.6875	3049.01449275	2987.57324841	2995.58823529	2642.54166667	1539.87804878	1053.97368421	850.276785714	1592.64285714	675.618421053	520.134328358	439.24	583.875	347.344827586	806.5125	471.64	399.25	436.632653061	884.295918367	753.935897436	1374.11278195	1141.9	1062.08403361	966.820895522	803.675	919.888888889	1284.33950617	871.257352941	695.148148148	1708.81460674	685.230769231	402.037037037	3224.16666667	754.038461538	1015.12941176	1438.2983871	2241.54450262	1149.88235294	1157.6147541	666.101010101	1049.15	683.060606061	1213.23762376	3948.58984375	1048.35051546	1165.95081967	758.0	769.121212121	770.432692308	595.0	1703.7635468	1117.75229358	849.463917526	689.333333333	696.344827586	947.323943662	972.0859375	818.495145631	994.112676056	1033.69291339	864.0	907.526315789	677.561403509	880.909090909	762.100917431	827.779527559	943.918918919	1006.3956044	708.64516129	618.616071429
alpha_rarefaction_8466_1.txt	8466	1	7562.968523	7773.66512702	3324.14041096	797.635135135	2837.30769231	3178.87978142	7573.17548077	7746.13994911	1019.43037975	7221.89010989	7375.00241546	7718.06082725	733.038461538	7227.34814815	2057.30125523	731.761363636	1101.5	1249.06569343	1293.29787234	1516.08119658	1136.88976378	1230.79532164	1432.04	1298.44171779	1488.38983051	1949.31818182	2397.77118644	1958.55462185	1870.61666667	3338.74429224	1585.84210526	1152.024	2792.82214765	1084.76923077	1085.02083333	1015.02884615	1059.74257426	2304.20740741	1056.01840491	1522.89130435	1946.08296943	1024.0	1725.0375	805.142857143	3995.93700787	3379.63517915	1041.8089172	917.023255814	1350.3381295	788.803738318	1287.60512821	1100.61486486	1245.93670886	1173.02654867	1337.70895522	1513.10204082	1281.03225806	1095.6626506	909.583333333	1315.6043956	1154.9338843	1589.2238806	1054.96022727	1177.29677419	1234.50925926	599.615384615	528.266666667	1021.56164384	1052.76335878	1385.5625	903.458715596	936.722222222	999.672131148	1254.35714286	1243.43712575	722.431578947	785.909090909	978.767857143	729.111111111	3263.20512821	1193.94354839	786.615384615	3182.44351464	1689.96202532	1184.37681159	910.486486486	1107.09230769	343.875	2596.40677966	754.817073171	617.886363636	2669.05660377	3333.35294118	2985.8677686	2379.10243902	1353.20437956	1008.65957447	851.073170732	1461.92857143	640.8125	671.411764706	486.375	614.5	306.7	848.758064516	464.3125	337.3	459.024390244	1074.39759036	776.701149425	1416.24827586	1056.87179487	1144.2265625	873.151079137	791.561403509	981.02247191	1310.77083333	824.857142857	736.034883721	1600.30769231	678.518518519	399.037037037	3070.33203125	847.512195122	915.56	1365.32867133	2390.12299465	1081.57692308	1066.0	637.329411765	1137.2519084	713.811111111	1285.06140351	3692.75206612	901.0	1191.48888889	823.978947368	702.032258065	805.954545455	808.84375	1774.38497653	1169.45454545	811.429906542	625.202702703	694.237113402	792.470588235	1029.35897436	831.675675676	1038.20740741	1047.4789916	869.965517241	915.225806452	681.090909091	849.75	765.629213483	832.842592593	888.554545455	842.283018868	693.581395349	590.122641509
alpha_rarefaction_8466_2.txt	8466	2	8095.32330827	7895.73634204	3201.03092784	777.223880597	2808.69135802	3010.67647059	8212.81967213	7456.01438849	1043.68	7720.56968215	7715.64179104	7587.47215496	675.081395349	7792.5	2086.80392157	921.958333333	1208.46280992	1215.0	1309.71212121	1508.41176471	1101.10714286	1089.60621762	1452.1625	1248.01948052	1307.74157303	1878.19230769	2248.28286853	2079.63888889	1748.88823529	3108.87553648	1303.15	1068.84285714	2907.02047782	1178.12781955	1166.84	1047.90756303	1043.0877193	1847.58241758	1081.375	1513.5	2066.77375566	1006.25663717	1545.97560976	891.246153846	4114.59677419	3381.59726962	1067.25641026	838.728	1333.06944444	1060.875	1301.81927711	1065.16574586	1158.41772152	1143.50909091	1194.53642384	1416.46774194	1363.81690141	1143.74482759	938.486486486	1174.81981982	1157.84210526	1522.23300971	1124.13245033	1189.79166667	1113.70338983	561.638888889	509.918032787	1099.28571429	1104.02521008	1226.75	1014.20588235	1030.72727273	1146.17204301	1367.12727273	1177.01863354	666.818181818	803.756097561	1202.06666667	707.052631579	3057.24630542	1158.0	746.014492754	3230.25409836	1644.37179487	1151.0	887.3	1166.3	332.533333333	2651.88851351	808.733333333	571.934782609	3012.49295775	3037.79605263	3255.02654867	2371.65217391	1357.60689655	992.666666667	853.422413793	1396.5	536.431578947	652.8125	399.774193548	566.0	320.176470588	875.388888889	365.88372093	298.333333333	495.0	855.454545455	739.863636364	1414.76377953	1130.20666667	1193.36290323	976.194690265	830.095238095	898.5	1235.3125	909.096774194	729.968085106	1804.85405405	657.344262295	361.794117647	3036.66666667	693.7625	979.519230769	1402.50735294	2320.10050251	1101.24	1276.22580645	745.863013699	1219.01010101	736.172043011	1136.81578947	3645.264	1068.6039604	1251.14285714	735.367346939	768.35443038	786.129032258	618.901408451	1584.79534884	1079.74418605	864.027777778	623.4	719.350515464	901.569767442	879.270676692	940.6	1162.63157895	945.366666667	792.148514851	940.25	695.743119266	784.2	777.96	862.570247934	986.544554455	840.184466019	718.172413793	582.048780488
alpha_rarefaction_8466_3.txt	8466	3	7516.80522565	7981.67333333	2849.59944751	706.535714286	2760.97307692	2889.63707572	7262.09330144	7280.56756757	749.166666667	7189.15348837	7585.74595843	7294.53037383	812.655737705	7591.69754768	1984.35169492	898.188405797	1170.16	1257.82352941	1442.55371901	1548.55813953	1187.7768595	1229.13496933	1439.04081633	1226.95530726	1443.55688623	1930.37442922	2289.09375	1993.03960396	1789.12903226	3627.46889952	1400.65909091	1255.23893805	2914.82758621	1078.07042254	1096.29220779	956.836206897	1090.76470588	2362.91366906	1121.34899329	1520.81818182	1784.18577075	979.379310345	1536.03508772	877.810810811	3890.66666667	3919.2481203	1044.30434783	874.082644628	1284.6	931.468085106	1311.08196721	1029.24193548	1168.76190476	1120.20833333	1399.8358209	1414.36645963	1401.03424658	1218.16666667	900.834862385	1241.03225806	1256.06140351	1628.55263158	1076.82926829	1138.68085106	1101.66666667	539.661290323	482.637931034	955.011235955	1096.47014925	1215.08609272	950.142857143	965.522727273	1159.56382979	1315.17241379	1343.36666667	623.628099174	901.985915493	1149.27083333	661.52173913	2995.17142857	1218.55084746	795.881355932	3072.20992366	1629.21556886	1275.34883721	870.480392157	1103.6097561	335.206896552	2670.22727273	714.411764706	501.915254237	2716.2972973	3221.13375796	2971.25882353	2448.79255319	1371.5	1074.50632911	868.555555556	1536.75796178	570.825	603.090909091	380.447368421	595.217391304	426.357142857	757.211267606	370.894736842	337.0	423.42	922.56122449	841.365591398	1254.22222222	1111.05649718	1029.13138686	862.045801527	800.203389831	891.777777778	1200.5617284	911.925	776.413043478	1744.82978723	608.029850746	296.666666667	3129.62452107	820.5375	1006.60416667	1457.07936508	2443.53475936	1029.2983871	1166.05042017	642.188118812	1060.60869565	662.363636364	1167.8677686	4128.77731092	987.247524752	1209.88793103	820.677419355	620.561403509	789.75	741.014084507	1671.30841121	1238.82978723	805.285714286	585.166666667	740.804878049	826.365591398	989.508196721	929.533333333	1092.05217391	938.330882353	928.011764706	861.220183486	671.776859504	771.566037736	778.505263158	858.0	927.594594595	809.0	704.264705882	653.45
alpha_rarefaction_8466_4.txt	8466	4	7405.61411765	7912.61743341	3106.7808642	782.558441558	2762.02631579	2850.59193955	8047.57364341	7176.31651376	901.386363636	7564.25721154	7866.30690537	7388.16625917	774.666666667	7797.53826531	1979.12863071	898.0	1267.0	1219.8447205	1322.53658537	1690.14754098	1192.29411765	1189.32467532	1691.1	1255.01714286	1486.91082803	1849.7804878	2317.0251046	1916.24390244	1822.50595238	3372.28846154	1455.8	1185.13934426	2915.32142857	1091.1372549	1048.2	1138.72897196	1017.48648649	1953.98148148	1172.5	1525.76271186	1968.96875	1058.89189189	1500.0	852.238636364	3915.01526718	3557.03886926	1114.45454545	876.05	1335.13793103	907.182692308	1289.05714286	1116.05263158	1244.63125	1164.75454545	1342.98529412	1420.12903226	1289.88732394	1122.71428571	946.076923077	1175.90178571	1155.27067669	1589.13559322	1135.91946309	1214.28947368	998.7	609.553846154	590.125	957.568181818	974.99270073	1320.41984733	947.134020619	1130.5840708	1067.5	1367.46835443	1359.83443709	662.949152542	729.603960396	1473.4	660.303571429	3396.50505051	1089.51162791	686.512820513	3277.83950617	1464.37931034	1185.29496403	907.394230769	1053.31081081	406.04	2822.17857143	714.975903614	551.5	2559.61752988	2577.49189189	3131.94594595	2405.64676617	1328.72916667	928.816326531	827.37398374	1409.32298137	568.533333333	590.081967213	366.724137931	588.018181818	372.896551724	979.75	344.027777778	307.555555556	453.27027027	891.833333333	699.065217391	1464.05263158	1173.48322148	1077.40740741	965.222222222	817.473684211	925.151785714	1269.71974522	867.321428571	812.774193548	1738.9893617	690.898305085	316.034482759	3147.22775801	670.535714286	1017.17241379	1492.51079137	2366.05882353	1149.87804878	1264.83962264	711.25	1072.88	735.965517241	1069.608	3749.82329317	957.655462185	1486.375	758.523809524	757.653061224	900.725274725	683.285714286	1587.61674009	1190.33027523	799.79245283	689.533333333	733.896551724	886.619047619	864.7	893.112359551	1068.75	1032.16911765	847.739130435	926.761061947	626.808695652	803.940594059	690.0	904.457142857	950.283185841	757.3	658.144329897	597.073170732
alpha_rarefaction_8466_5.txt	8466	5	7770.03816794	7928.29656863	2990.23566879	834.552238806	2673.01098901	3036.94198895	7368.40145985	7591.1198044	882.666666667	7455.55529412	7790.00254453	7306.91981132	834.438356164	7639.05483029	1988.72033898	914.318181818	1228.08108108	1240.15942029	1526.42241379	1617.28571429	1256.69444444	1231.87804878	1532.5	1238.16766467	1439.04	1871.16055046	2228.1119403	1854.11538462	1841.58928571	3388.30434783	1457.65217391	1127.60833333	2898.81730769	1239.36029412	1023.41509434	1077.59459459	1013.22222222	2202.21794872	1094.56944444	1292.37244898	1825.94186047	1020.62096774	1526.0	837.928571429	4210.12970711	3858.77777778	1044.9	817.6	1292.78846154	850.829787234	1315.20689655	1120.97452229	1224.9375	1206.13043478	1220.57594937	1315.24550898	1331.0	1111.14	891.742857143	1129.88793103	1106.36666667	1612.84057971	1126.72108844	1145.54601227	1008.54285714	736.307692308	500.671875	879.913043478	1088.97142857	1417.65625	955.409090909	990.890756303	1019.25	1479.64583333	1245.34682081	675.628571429	948.424242424	1001.41176471	656.101694915	3330.00483092	1193.3255814	735.8	3313.09130435	1546.96226415	1053.81506849	924.714285714	1086.57894737	284.75	2730.70220588	866.263157895	668.06	2826.54807692	2727.57377049	3277.3	2460.67955801	1405.25	1111.22058824	843.137931034	1562.58709677	616.604395604	715.672413793	371.032258065	569.120689655	425.0	831.344827586	405.526315789	238.37037037	475.023255814	865.776595745	906.188405797	1357.47482014	1144.1971831	1039.95070423	941.12195122	882.631578947	936.677419355	1254.11764706	850.107142857	745.282608696	1707.01612903	606.557692308	357.161290323	3097.86813187	808.075949367	1035.16304348	1475.87407407	2400.59574468	989.643356643	1191.84259259	637.11627907	1113.77692308	725.010526316	1069.37903226	3814.75431034	884.786259542	1188.48091603	801.611111111	738.095238095	745.026785714	605.054054054	1672.32352941	1120.75229358	767.64	662.214285714	780.04109589	843.535714286	1050.125	796.954545455	1074.81818182	989.449612403	817.919191919	882.75	740.539215686	826.857142857	725.055555556	824.76	966.776785714	802.5	648.674157303	662.597826087
alpha_rarefaction_8466_6.txt	8466	6	7763.44444444	7928.93990385	2857.77715877	843.333333333	2736.75590551	2966.80211082	8201.32904884	7127.54332553	847.573033708	7893.62469136	7298.95652174	6717.38888889	735.0	7237.04316547	2093.79237288	927.892307692	1203.69105691	1206.97183099	1249.31578947	1480.03056769	1253.88541667	1244.51923077	1390.70588235	1241.03428571	1407.4127907	1893.05936073	2386.52459016	2175.04424779	1815.00540541	3564.58426966	1492.32089552	1268.82608696	2577.58044164	1141.91891892	1000.21818182	968.267716535	1097.34653465	2038.46428571	1171.25547445	1563.96815287	1839.44140625	1015.84297521	1764.00653595	863.5	4178.41516245	3598.88850174	1077.3877551	868.436507937	1176.21518987	811.666666667	1320.03409091	1139.0	1177.79054054	1138.21052632	1175.21276596	1459.20348837	1285.71974522	1120.00653595	995.4	1109.89473684	1094.19047619	1646.87700535	1102.01840491	1175.95918367	1215.1588785	611.188679245	581.056603774	887.423529412	1029.07086614	1238.9	950.0	1099.52830189	1268.16666667	1312.65217391	1333.90322581	661.795918367	796.221052632	1119.78431373	762.881355932	3340.015	1143.75925926	636.906976744	3110.38842975	1639.29054054	1228.33093525	908.25	1155.61538462	336.53125	2691.37883959	713.270588235	638.8	2810.48214286	3171.47183099	3010.15584416	2585.11764706	1228.84615385	1107.71764706	871.307692308	1554.59477124	579.382978723	579.090909091	384.44	502.6	427.037037037	852.615384615	410.571428571	323.833333333	523.923076923	958.6625	794.8125	1355.64539007	1203.9787234	1108.0610687	989.142857143	822.913043478	857.728971963	1347.00666667	867.591836735	798.670103093	1868.65269461	660.818181818	391.0	3187.46768061	806.512820513	994.78	1502.35658915	2382.71856287	1049.32575758	1191.22727273	645.265060241	1207.68421053	621.36	1047.31932773	3887.18442623	948.5	1318.14285714	812.054054054	733.035714286	767.00862069	723.727272727	1745.88020833	1158.46808511	859.25	627.323943662	789.224719101	711.026785714	989.226086957	916.475247525	1158.25	983.044444444	843.285714286	897.022222222	637.846153846	853.032608696	769.387096774	844.405405405	976.226086957	893.690909091	643.778846154	658.634615385
alpha_rarefaction_8466_7.txt	8466	7	7587.48888889	8300.47088608	3078.64022663	799.78313253	2807.27272727	3062.99721448	7411.321513	7817.38196286	850.011111111	7349.12230216	6917.50862069	7093.53456221	884.924242424	7092.10933941	1914.00404858	735.011627907	1136.7983871	1284.22147651	1353.0729927	1670.04918033	1119.75833333	1233.79532164	1341.01960784	1215.70666667	1360.37724551	1816.60465116	2290.86746988	1633.18248175	1862.27272727	3529.7	1475.88188976	1100.12408759	2871.2247557	1158.73880597	1161.78947368	1045.25409836	1081.5625	2229.24489796	1148.93150685	1451.71929825	1764.37857143	1020.78899083	1613.73529412	804.03	4132.48031496	3477.5	1065.55063291	836.758333333	1194.68181818	881.666666667	1377.05	1090.65555556	1222.53548387	1089.75	1216.67391304	1365.52830189	1325.81538462	1137.12426036	864.05	1204.06382979	1100.10204082	1626.87939698	1077.82424242	1218.74626866	969.19047619	660.5	609.888888889	970.909090909	1068.93023256	1338.02173913	1021.14285714	1018.81896552	1126.03883495	1453.8807947	1300.50955414	619.162393162	782.189873418	961.803571429	667.098360656	2965.75813953	1135.94117647	625.166666667	3319.38888889	1566.58928571	1110.5	820.262295082	1351.0	381.272727273	2783.575	816.467532468	551.108695652	2837.04166667	3274.73943662	2988.19678715	2286.96858639	1258.09090909	1092.82142857	827.090909091	1527.42307692	635.280487805	549.151515152	614.789473684	519.22	341.096774194	726.136986301	363.171428571	304.3	429.657894737	949.011235955	745.25	1325.38235294	1129.24137931	1035.37209302	1135.44680851	752.826446281	864.705882353	1157.16969697	911.3515625	786.93258427	1574.93103448	750.471698113	336.0	3162.85769231	727.12345679	1072.5	1516.6744186	2346.8974359	972.71942446	1020.2578125	711.465753425	1110.88188976	800.170731707	1138.18421053	3766.65587045	956.231404959	1204.40909091	795.057142857	770.46	781.227722772	817.948275862	1528.72429907	1073.75675676	845.151515152	704.545454545	722.161290323	756.505263158	1013.72527473	1004.03030303	979.321428571	949.006993007	827.064516129	924.123809524	674.457142857	760.0	750.70212766	821.530434783	912.944444444	803.564102564	687.727272727	647.282828283
