Taxon	13M1	7M1	1S	12P1	9M1	9S	12A2	3M2	12A1	3P2	7P2	11M	1A	MG1	8S	13S	Nl18Post1	Ao20Ant1	3Abpost1	Nl19Mid1	Nl18Mid2	Nl17Mid1	Nl19Esoph	Ao20Stomach	3AbMid2	Nl19Stomach	2M1	8A	2S	10P2	12M2	8M	7A2	Ax16Mid2	Nl18Ant1	Al11Mid1	Nl18Stomach	Nu15Post1	Zv6Mid1	Nl17Esoph	Ax16Ant1	Nu1post2	Al12Stomach	3M1	6P2	8P2	Nu15Stomach	Nu15Mid2	Nl19Post1	Zv6Ant2	Nl19Post2	Ao20Esophagus	At14Esophagus	3AbStomach	At4Mid2	U.Food.	Ax16Stomach	Nu1post3	Nl18Esoph	Nl8Mid2	Nl17Stomach	Ao20Post1	Ax16Post1	Zv6Post3	Zv6Post1	7A1	2A	10M1	At14Ant1	Zf5Post3	3AbAnt1	Nl8Ant2	Al12Post2	Zf5Stomach	Zv6Post2	Zv6Mid2	Zf5Post2	12M1	6M2	1P	6A	3A	9A	Nl8Esophagus	At14Post1	Nu15Esophagus	3P1	11P	11S	7P1	7S	8P1	13P2	10P1	Nl17Post2	9P1	9P2	Ax16Esophagus	Nl19Ant1	Nu15Mid1	13A2	11A	13M2	6S	13P1	10A2	12S	6M1	10M2	HG1	An10Stomach	Nu1post1	At4Post1	3AbPost2	At14Mid2	Nl17Ant1	Nl17Mid2	Ax16Post3	An10Mid	Nl17Post1	Nu1Ant12	3Abmid1	12P2	9M2	1M1	Al12Post3	Nl18Post2	Al11Ant1	Nu1Mid1	Zv6Stomach	Nl8Mid1	An9Post2	At4Post2	2P1	Nu15Ant1	An9Ant2	3AbPost3	Zv6Ant1	Al12Ant2	Al12Esophagus	Ax16Ant2	At14Ant2	At14Stomach	An10Ant1	Zf5Ant1	Nl18Mid1	Zf5Esophagus	Nl8Ant1	Zf5Mid2	Nl19Mid2	At14Mid1	Zf5Post1	Ct13Stomach	Zf5Ant2	At4Ant1	Ax16Post2	Nu1Ant1	Al11Esophagus	Nu15Post2	Al11Ant2
Unclassified;Other	5.65898930451e-05	0.0	0.0	0.0	0.0	0.0	5.60789591745e-05	5.56668893342e-05	0.0	0.0	0.0	0.0	0.0	5.53832521046e-05	4.92853622474e-05	0.0	0.0	0.0	0.0	4.90749374295e-05	0.0	0.0	0.0	4.88472059398e-05	4.99725151167e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88495921059e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.72634464505e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.74901457947e-05	0.0	0.0	0.0	4.98454790151e-05	0.0	0.0	0.0	0.0	0.0	5.06688285367e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.84683986041e-05	0.0	0.0	0.0	4.90051945506e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81927710843e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79616306954e-05	0.0	0.0	0.0	0.0
k__Archaea;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000203407068396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota	0.086582536359	0.0823133071308	0.000607379662904	0.0	0.0	0.000278815591368	0.0898384925976	0.0886216878201	0.000426702067134	0.0758956016319	0.0657603890363	0.0864396422421	0.00511945392491	0.0893885688968	0.00167570231641	4.73462430756e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212157094928	0.0	0.000386380101425	0.000348293362524	0.0	0.000576673554712	0.000102653595442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000355962369692	0.0	0.0	0.00777472266995	0.0	5.39665407447e-05	0.0	0.0	0.0	0.0	4.87068335687e-05	0.0	0.0	0.0	0.0	0.0	0.000737898465171	0.0	0.0	0.0	0.0	0.0	0.000340020401224	0.0	0.0	0.00141509433962	0.00198506475092	0.000426823484777	0.0	0.0	0.0	0.0	0.0	0.0	0.000196908535985	0.0	0.0	0.00312381673608	0.000284940874768	0.0	0.00712986888697	0.00898387630621	4.98454790151e-05	0.0	0.0	0.0	0.0	0.0	0.00091203891366	0.0	0.00132144037	0.0	0.0	5.008263635e-05	0.0	0.0	0.000998383569459	0.0	0.0	0.0	0.000661219477637	0.00235449237144	4.71831650467e-05	0.0	0.00047254512806	4.70854129391e-05	4.70831960073e-05	0.000188643652141	0.00203810787752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24411348262e-05	9.56297217175e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000359804677461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.81927710843e-05	4.82718671558e-05	0.0	0.0	0.0	0.000486831215618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.0	0.0	5.06149719087e-05	9.4710422882e-05	0.000151431023169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00127077223851	0.0	0.00181577268489	0.000293470286134	0.0	0.0	0.0	0.0	0.000148617853958	0.000493388592856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000738516075033	0.0	0.000885478158205	0.0	0.000436131033146	0.0	0.0	0.000149313159466	0.00048574343032	0.00014710208885	0.000194571456367	0.000330188679245	0.0	0.000237124158209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000194467402402	0.0	0.0	0.0	4.78514690401e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000144133756126	0.0	0.0	0.0	0.0	4.71831650467e-05	0.0	0.000189018051224	0.0	0.0	0.0	0.0	0.0	4.93607779259e-05	0.0	0.0	0.0	4.83068450799e-05	0.0	0.000538450242303	0.0	0.0	0.000739025471745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000672107537206	0.000246669955599	0.0	0.000196579516414	0.0	0.000676165177493	0.000294031167304	0.00187879371808	0.0	0.0	0.0	0.0	0.0	0.00173135189727	0.000289156626506	0.0	0.0	0.0	0.000291064325216	0.000730246823426	0.0	0.000193096789766	4.86475968087e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000508517670989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000152415790276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.00345198347575	0.00336889387984	0.0052133421066	0.000899749017379	0.00292766644793	0.00289968215023	0.00274786899955	0.00300601202405	0.00052152474872	0.00346504219527	0.00342617152962	0.00527748458419	0.000379218809253	0.00310146211786	0.00344997535732	0.00075753988921	0.00126539154134	0.000537634408602	4.9414438899e-05	0.00191392255975	0.0017608217168	0.00116993272887	0.000590522119974	0.00102579132474	0.00014991754535	0.00554839988111	0.00118413262285	0.00226823029777	0.0035257184255	0.0112946561847	0.00906886517944	0.0172040943822	0.00159113072935	0.000341396800624	0.00151263784522	0.000243771634733	0.00117675900956	0.0521072033476	9.73330737785e-05	0.000248040480206	0.000711924739385	0.0	9.9636327405e-05	0.000142220536645	0.0346764720903	0.0141932002159	0.00111374751828	0.000576092174748	0.00233463035019	0.00058306204752	0.00672154303249	0.000532378278966	0.000537345513165	0.000491569581674	0.000492344050022	0.00654380984458	0.00177095631641	4.85036620265e-05	0.0	0.00034188034188	9.68992248062e-05	0.000647023691021	0.00126293291883	0.0	4.86428640918e-05	0.00122641509434	9.4526892901e-05	0.000948496632837	0.000338966635998	0.00286137148495	0.000242483026188	0.000536480686695	0.000194637730524	0.0	9.84542679925e-05	0.0	0.00145850551801	0.000236652783037	0.00170964524861	0.00883850993708	0.00110058378792	0.000803820511608	0.00368856544711	0.0	9.82945888829e-05	0.00424403183024	0.00792445667647	4.70831960073e-05	0.00268544791244	0.0122427338892	0.000471942989287	0.00667014069828	0.0280730978394	0.0126208243602	0.0857535921736	0.00547692904226	0.000950841494723	0.00144133756126	0.00484818805093	0.00157985446189	0.000188919850753	0.0	0.00014154949514	0.000188341651756	0.000897835743313	4.70854129391e-05	0.0	0.000235804565176	0.00142193572851	0.00186978617317	9.87215558517e-05	0.0	0.0	9.774693319e-05	4.83068450799e-05	9.64180687461e-05	0.00572715257722	0.000293973542381	9.71581248482e-05	0.00709464452875	0.000433985919568	0.000333587495234	0.00891499292045	0.00210385387779	0.0041970186695	0.00426198990839	0.0491860932476	9.87995850417e-05	4.97240316245e-05	0.000144023043687	0.000246669955599	9.69367972082e-05	0.0	0.016499614495	0.000531272639459	0.00161717142017	0.000385393583197	9.72242477274e-05	4.86689054363e-05	0.0	0.000914494741655	0.00309313227974	0.00149088635599	4.81927710843e-05	0.0	0.0	4.95245641838e-05	0.000291064325216	0.0	0.000875103310808	0.000579290369298	0.0	0.000145229220119	4.84378784209e-05	4.82322866927e-05	0.00297362110312	4.91932310114e-05	0.000341496731388	4.77646159725e-05	0.000145992505718
k__Bacteria;p__AD3	5.65898930451e-05	0.0	0.0	0.0	0.0	0.0	0.000112157918349	5.56668893342e-05	0.0	5.58877773431e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000194297372128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.46611132147e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0636636296757	0.0836608646828	0.00141721921344	0.00407254818393	0.000555247084953	0.000501868064462	0.0802489905787	0.0724226230238	0.00331879385549	0.0791929804952	0.0684129089302	0.0761068829509	0.0036025786879	0.0771488701817	0.000985707244948	0.0	0.00146006716309	0.00361681329423	0.0	0.00314079599549	0.0	0.000584966364434	0.000295261059987	0.00112348573662	0.0	0.000792628554444	0.0230905861456	0.0	0.00342912340014	0.000348293362524	0.0	0.000576673554712	0.000153980393163	0.00117050331643	0.000390358153606	0.0	0.000784506006374	0.0	0.0	0.0	0.0044749555047	0.000435962022864	0.0	0.00516734616479	0.0	5.39665407447e-05	0.00135586654399	0.00048007681229	4.86381322957e-05	0.0	0.00180215284204	0.000580776304327	0.000635044697377	0.0	0.000147703215007	0.000625511235144	0.0012790240063	0.0	0.00101763907734	0.0	0.00363372093023	0.00253832371093	0.00403167047166	0.0	0.0	0.0022641509434	0.000803478589659	0.00341458787821	0.0	0.0	0.000387972841901	4.87709715178e-05	0.0	0.0	0.00039381707197	0.0	0.0	0.00364445285877	0.00099729306169	0.000249675421951	0.00282323667337	0.00713981748546	4.98454790151e-05	0.000149305728363	0.0	0.00130214612973	0.0	0.0	0.000506688285367	0.0	0.00113266317429	5.21104742053e-05	0.0	5.008263635e-05	0.0	0.0	0.0010459256442	0.00240222926876	0.000881488736533	0.0	0.000141689888065	0.00122433603315	0.00014154949514	0.00122422073642	0.000141763538418	0.00197758734344	0.0	0.00193359743445	0.00142193572851	0.0	0.0	0.0	0.0	0.0	0.00033814791556	0.0	0.00215380096921	0.0	0.0	0.00103463566044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000411205345669	0.00077276020285	0.0	0.00115618074959	0.0	0.0	0.0	0.0122440684855	0.00111159441303	0.000865675948637	0.0	0.0	0.0	0.0	0.0	0.0	0.000534785356605	0.00183441950278	0.0	0.000145229220119	0.0	0.0	0.000623501199041	0.0	0.0	0.00128964463126	0.0
k__Bacteria;p__Actinobacteria	0.40903174693	0.311061201572	0.0271296249431	0.0585783965525	0.0115087577608	0.00239781408576	0.359466128309	0.322645290581	0.0605916935331	0.304923713184	0.288516799293	0.321871007166	0.0235589685248	0.341659282233	0.0108427796944	0.057620377823	0.102886066092	0.112463343109	0.0345406927904	0.0780782254503	0.10398630472	0.0446524324851	0.0899562029428	0.114058225869	0.0378791664584	0.0523630238779	0.055802249852	0.00579122629217	0.0640425018112	0.000646830530401	0.0478661493695	0.0157624104955	0.0206333726839	0.107393679282	0.0660193227286	0.197893813076	0.0898749693552	0.0038358075122	0.0135292972552	0.101994245461	0.0172387490465	0.108651424143	0.0166890848403	0.0355077273158	0.000204279658853	0.000161899622234	0.11374751828	0.0541526644263	0.0373540856031	0.00928040425635	0.0781257610443	0.0928758106669	0.071955449172	0.0129774369562	0.0284574860913	0.0126064572006	0.12839433294	0.132026968036	0.11368482264	0.00322344322344	0.0878875968992	0.129404738204	0.0514888036139	0.0059331175836	0.0115283587898	0.0218867924528	0.022450137064	0.038793512283	0.11214953271	0.00883078441046	0.0923375363725	0.0065840811549	0.0036007980147	0.00625093019795	0.0159988185488	0.0327797833935	0.0156060090427	0.0269784172662	0.00375172151779	0.00139818236293	0.0244521006795	0.0272353302757	0.0134582793341	0.0212014134276	0.00692976851624	0.10147094285	0.000759229382177	0.00527331795282	0.0154539927037	0.056393695474	0.0119873519279	0.000104220948411	0.000587918279359	0.0003004958181	0.00285335779069	0.000484683986041	0.00808215270514	0.0908523109446	0.0415768854065	0.0214955955573	0.0233788315307	0.0099359578075	0.0286873643484	0.015444015444	0.0190435686608	0.0158206987475	0.00715664579312	0.0155631013016	0.0292918760072	0.058586633426	0.0070585912434	0.00014991754535	0.0335606692508	0.0124138605151	0.122844307038	0.109434508027	0.065886729649	0.00524252817246	0.00340053436969	0.0529634921417	0.0162503616549	0.148637056805	0.0341391787718	0.000812852634599	0.00381108591828	0.00656444422672	0.00452170418006	0.0503877883713	0.0	0.0294287085934	0.00212136161815	0.0012117099651	0.0118930607431	0.00210742739656	0.0990581985028	0.0120062726649	0.109114558243	0.0196392980409	0.00910108531659	0.0648206116061	0.028552558045	0.0951138176019	0.106285769249	0.00356626506024	0.00738559567484	0.00335929892892	0.00217908082409	0.00368681478607	0.022881067134	0.0474014293354	0.107651460294	0.146526561588	0.0169918187539	0.0177282635021	0.0299040177495	0.102877697842	0.00118063754427	0.0878134452142	0.115017195262	0.0418998491411
k__Bacteria;p__Armatimonadetes	0.00135815743308	0.00157215047726	0.0	0.0	0.0	0.0	0.000841184387618	0.00122467156535	0.000284468044756	0.00139719443358	0.00149204244032	0.00183323148714	0.0	0.0011630482942	0.0	0.0	0.0	0.0	0.0	0.000196299749718	0.0	0.0	0.0	0.0	0.0	0.0	0.00138148806	0.0	0.0	4.97561946462e-05	4.84966052376e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000189627382194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000436532958238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.46611132147e-05	0.0	0.0	0.00019140587616	0.000189134238025	0.0	0.0	0.0	0.0	0.0	0.0	0.000202675314147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000391772771792	0.0	0.0	4.70898474289e-05	0.0	0.0	4.7254512806e-05	0.0	0.0	0.0	0.000473978576168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
